firstVar,secondVar,thirdVar,fourthVar,fifthVar,sixthVar,seventhVar,eightVar,id
9517.17,132,95,12047838037.2,-77615059.845,30155428549584,8543829.725,9832436.03,53
4336.7,445,11,11676240260.8,-15171585.45,3538256675430105,7816727.703,52555198.25,54
294.87,301,56,7651272446.7,-77986058.71,5100143282587068,4099379.589,36098983.62,55
9595.54,569,70,6270842874.2,-54776021.601,3579472303933994,8478187.531,108159217.24,56
3835.73,933,42,1872583394.6,-71132911.802,50383464677636482,2910663.777,83576071.08,57
1675.94,280,49,9809709728.0,-115908621.72,5602227412290298,11958225.683,62246441.87,58
7154.84,647,79,9045187936.9,-24186958.887,4508988579275244,8112801.541,54464889.52,59
9063.04,585,15,8514173409.1,-2737819.8384,3561369296913704,7417077.219,33408756.06,60
5949.09,736,13,6025025844.3,-112434937.13,0604567547149714,3737793.493,56697897.59,61
846.6,849,12,4386253646.4,-9898682.0039,5602213238418388,10037052.442,1825146.69,62
960.29,351,22,7621387736.8,-123211257.63,3581605641932071,2259275.691,76159744.66,63
9298.02,179,68,1059785907.1,-39921385.997,5537291671618425,9046532.793,45979170.16,64
227.89,778,97,9232756365.2,-49466617.868,4913919366774239,10001854.636,74288062.66,65
6603.98,372,89,4322463195.9,-115637164.17,4917931373652387,5994799.794,34219458.32,66
6675.02,149,50,11498153738.2,-88041317.957,5100135387153630,6743481.491,84477308.3,67
9030.79,318,87,4464117817.2,-70236953.256,6759727203494461,5487968.517,103890131.04,68
6197.09,730,35,11391794100.8,-18493471.622,5562215547004120,12164997.555,55126393.33,69
3013.2,199,1,11207295757.5,-118134638.52,379093273542835,1121514.357,86631297.84,70
7849.36,69,83,4309872753.6,-112256754.92,30233549476225,11443512.77,79718043.71,71
5916.72,582,10,250350036.9,-105300970.34,3561450101418889,2322988.729,112114187.69,72
7.06,832,24,1256508532.7,-37859991.924,4936962908144100,8752221.257,38081229.8,73
8649.22,437,71,2311478877.3,-75386590.039,4026548740148739,9916619.728,404520.81,74
3496.53,560,38,7277365795.5,-56256423.065,374288487849407,8625692.628,80220331.87,75
8914.01,362,39,1271524350.7,-103644488.75,5385600745513581,8854215.331,88472099.57,76
9690.39,657,12,11131627056.1,-69120110.141,5048370246949697,936098.485,97791360.33,77
7889.59,517,28,406766722.7,-88212764.206,3567135621005878,2533305.95,94332898.8,78
626.42,433,96,1760150593.8,-12392848.94,3578244806349999,6711806.189,107366867.52,79
8187.89,769,58,11104634562.4,-21367013.446,5594838081246898,6704795.218,37500172.81,80
4214.62,166,81,11869005270.8,-3374300.2863,3544614987882607,592153.192,105149816.05,81
1214.75,883,45,12045242789.2,-20800036.312,5100145326997682,9991827.203,111058447.69,82
7436.69,91,72,1613710947.3,-85080632.315,3537667703176125,7664880.681,5784009.56,83
3987.94,2,78,6623331045.9,-6835284.9748,676253173607893696,1384590.897,99687224.37,84
36.91,296,30,1113876945.3,-65219482.876,4007755535397008,9102421.805,99458662.77,85
9727.14,464,57,9764638126.4,-40844030.313,5602218479351586,354331.47,26863484.79,86
3776.27,908,34,2072554468.1,-29691504.913,374622183236123,8329788.517,92507411.36,87
6816.21,660,23,6821988584.6,-117581721.95,4041374382718742,3174406.339,52060237.93,88
9772.64,448,93,10615589632.1,-15004290.565,3557884364528487,9971759.937,87047207.51,89
3373.62,118,77,4866583417.5,-81286344.998,3549843900515540,7290720.098,68880810.21,90
6398.25,490,52,6650651202.3,-111412396.51,4905921535427921,7785813.515,55871023.24,91
8117.77,684,33,2751546307.9,-74445312.185,6709742975355734,10956101.933,71907875.0,92
8293.68,80,14,2364660056.8,-37252334.655,3584208201897599,3438698.285,14046883.34,93
4243.18,290,8,8158511716.1,-63787462.326,633110940067434698,12091530.311,104195259.19,94
1479.14,18,36,396042532.3,-47219138.531,374283934126798,9662334.292,69263463.71,95
5417.42,746,79,4016354241.9,-83505146.472,4026167165773077,1789474.368,39442618.13,96
4412.47,696,1,8885783669.0,-7180819.3347,3548442372259421,11148358.919,98445740.53,97
3354.11,702,7,429086497.6,-102690976.74,3532712543622063,1429008.355,22089640.03,98
7912.87,560,14,3734086083.8,-29036382.502,5457270545494912,2183080.216,50428538.37,99
2372.0,414,25,8645896341.7,-100639814.86,67618108901233589,10295303.17,12039454.3,100
