firstVar,secondVar,thirdVar,fourthVar,fifthVar,sixthVar,seventhVar,eightVar,number
1002.0,712,14,4723929479.8,-14031567.781,5641823808641079,30926.201,62583800.56,411
8495.54,440,39,6609318940.7,-87227373.631,4936453409865709220,4518173.957,30381004.62,1035
8655.17,645,44,2074470996.3,-15242109.933,5602229899993502150,2532613.187,74162289.76,738
6347.65,300,4,8265168490.0,-5330316.5652,3584430889582760,2742687.146,64050921.19,283
8486.38,763,69,11962724176.3,-13059589.02,561048875738939651,2164293.836,18241576.03,47
5415.66,868,10,2625620132.6,-89471549.476,3576770000817615,9641466.92,58913729.47,428
8686.52,244,20,5190836972.1,-30853611.467,560223772856467764,1091355.386,3089940.67,962
4994.89,915,53,9666837504.4,-81074064.896,491130957581452476,2791249.601,84819720.47,958
4440.79,212,38,5431019644.6,-46156763.752,5602233204805889,3399912.473,49550142.86,369
7897.32,967,6,1060531686.0,-19590602.853,3539985791279934,7580136.395,53552490.78,506
8012.13,832,92,266010757.6,-41443125.982,3538607460122812,3580211.421,4169067.39,718
6213.49,93,23,7983087482.7,-99901928.379,50187884617253981,3013060.384,71335278.1,239
5430.26,333,82,554697650.2,-31651301.845,5536489007938290,4073313.143,59168022.92,841
7383.53,374,13,903465733.6,-3446424.833,6761690339678348,9627476.266,18150360.38,132
6605.7,734,11,10894701740.9,-105700543.79,3544093310263621,10697763.866,15807003.87,566
2106.64,81,24,8602280027.6,-75874563.822,4508517078488014,72474.242,110775339.1,593
9872.69,579,80,4840216146.9,-86819917.021,3540926563531901,11216129.505,37006154.04,321
5776.87,958,75,5062088404.5,-20500386.147,5375798286192088,4803374.238,99072834.98,391
3642.12,710,56,8929746748.9,-121336736.73,3565032458881731,7537655.582,61997077.99,423
7182.66,668,97,2183398758.0,-122580453.1,6392608962764125,11302426.123,105022748.7,913
6336.88,228,87,10819444309.7,-73887120.798,6762811148316990,11787948.216,111495958.95,200
9890.24,770,53,1362749103.9,-102436784.14,5100145850265753,4530982.743,6502286.54,242
3993.83,892,18,10582435584.1,-91281126.786,3555103811420889,2164486.031,54323707.0,30
9234.52,754,52,9543106613.6,-56686405.965,3551115574797265,6788424.563,110987061.56,830
3801.75,787,66,11067180624.1,-7367013.9225,3578708942400056,5677568.167,86242213.41,651
6031.88,667,1,5237797616.4,-41079339.627,6333084963159685,2346171.282,53504249.53,909
958.21,815,52,3032033687.8,-30659075.7,503859425993194327,1072711.624,79266544.28,7
9899.46,213,65,4135850271.7,-24140629.766,3548042729085998,3991288.368,30711483.45,899
886.69,320,57,4954054367.8,-119114781.81,372128336723969,2086479.853,36920765.67,278
3236.83,530,77,3780045321.8,-65259553.849,633474797497560587,7212056.888,44086023.79,398
9185.06,168,66,2851809537.6,-50706537.482,5002356251207687,5393105.918,19705997.25,117
8244.29,62,49,1383788450.0,-110328975.97,3563507050788683,3874685.503,43693035.89,65
8864.99,540,1,943984583.8,-19015839.364,3528596606916892,4117316.741,69040578.13,230
4402.02,343,40,10108870794.1,-66525591.974,3551807895935240,6822918.741,102646895.32,945
8820.02,483,18,1364457816.7,-95662234.209,3536550450678918,5561481.669,20091845.52,148
7855.77,42,85,6367590230.2,-3918133.722,3577080256964502,4364512.909,45562080.41,602
5816.01,300,20,831453981.7,-55954667.795,3556721795453250,481282.902,104788856.39,181
2781.27,223,74,5536608518.5,-49967499.367,5610639827672136,9105979.262,24809880.15,524
2295.82,318,13,148828224.0,-45230082.151,5010127847667860,11809951.658,66078654.91,951
1017.34,675,31,1314600791.1,-108087955.56,3582879129368863,11545587.896,92155495.85,152
3948.71,168,66,561736293.7,-24193332.853,3567956186927283,2906930.434,23166452.14,888
6452.32,588,47,9182341778.8,-100541938.56,6380243375832196,8884594.794,80217835.51,985
7571.78,804,20,9624046193.4,-64562449.459,3553979350211173,6412619.636,110864842.07,1071
6614.1,451,79,11968847377.1,-20961569.523,4936950921738705183,8049066.447,63465605.78,685
8164.78,769,20,3284945707.6,-35350829.409,67095018271969062,1127920.811,19641401.47,507
3632.67,560,74,6836695931.3,-14303639.927,3568787372970160,9627552.34,824008.23,603
8512.04,598,27,11596254329.7,-12061293.083,3563230826391738,10124207.645,79052581.43,495
7742.73,571,70,10680406998.4,-95362836.06,201934019384608,9774771.478,9379661.16,214
4619.3,818,7,8132643919.7,-120047691.39,3571382395386233,2477813.925,86225780.66,142
4962.67,371,85,132359549.8,-57528558.166,3554896421284543,135842.231,30834500.93,692
4656.65,434,13,11841526724.6,-98371215.26,6759998113534104823,11215266.513,21125951.66,696
4688.1,985,8,532247064.9,-78609478.656,633110709730385839,10943665.876,45949811.6,686
3800.11,876,12,8786456103.7,-9045914.8264,4903949629157806747,6414653.337,72442056.03,814
3682.66,624,67,3145332516.5,-2431122.1389,3556167786318187,9406872.844,81436097.57,869
9957.37,495,25,504359365.3,-53573067.335,5602249355128857932,3220615.287,25520959.39,346
8643.37,931,93,3605691644.1,-27811045.441,3538652147695350,6949103.863,94529165.2,888
41.73,345,75,7518668912.7,709451.3761,201493876465653,4669450.03,9913018.85,219
8438.31,948,47,1152998193.5,-5594726.728,3538501282053521,913891.998,38854768.54,618
