id,first_name,last_name,email,country,credit_card_#,longitude,latitude,reg_expr
23,Richard,Franklin,rfranklinm@jiathis.com,Russia,5162510788974146,38.90731,47.81228,612389-6500
24,Sharon,Day,sdayn@over-blog.com,Madagascar,3536863046016596,49.03333,-17.35,785438-0626
25,Amanda,Austin,aaustino@jigsy.com,Indonesia,3564041206118669,96.87015,5.19843,457528-7708
26,Helen,Matthews,hmatthewsp@theguardian.com,Philippines,5602245126554957,125.98556,8.63278,348723-3165
27,Ann,Stanley,astanleyq@dion.ne.jp,China,3579277724875066,107.04889,33.18639,049610-2482
28,Heather,Ortiz,hortizr@wix.com,China,30262011103777,106.7,35.76667,276146-4029
29,Nicholas,Rose,nroses@youtu.be,United States,6767555661853194518,-122.4892,37.7786,928467-5764
30,Doris,Weaver,dweavert@list-manage.com,Philippines,345539649601425,121.3589,16.7262,586258-6427
31,Mildred,Evans,mevansu@hc360.com,El Salvador,30386064782425,-89.20889,13.57528,075893-0391
32,Kelly,Pierce,kpiercev@noaa.gov,China,6759372317260183,99.26047,35.00368,070951-2806
33,Julie,Coleman,jcolemanw@cdc.gov,Brazil,3537211105626393,-48.125,-23.17583,059035-0511
34,Terry,Hicks,thicksx@nyu.edu,Ireland,67098461152439887,-6.14139,52.79306,082913-1906
35,Roy,Green,rgreeny@archive.org,Kosovo,3568088192329491,20.29222,42.51556,116739-0958
36,Diana,Gordon,dgordonz@zimbio.com,Sri Lanka,4844332384486030,80.75037,7.94946,302001-4900
37,Karen,Hughes,khughes10@imageshack.us,Yemen,67063164815733115,50.5777,17.45548,176838-1429
38,Billy,Brown,bbrown11@theatlantic.com,Philippines,3586788829913470,121.5503,15.7574,279381-6690
39,Deborah,Barnes,dbarnes12@nih.gov,Argentina,3537181204148997,-61.51637,-32.68478,130230-7740
40,Sarah,Gomez,sgomez13@ebay.com,France,4017957779127,2.3963,48.928,178663-4387
41,Jacqueline,Wood,jwood14@stanford.edu,Democratic Republic of the Congo,3528461572554096,19.77234,3.25651,016098-9245
42,Bobby,Banks,bbanks15@gizmodo.com,Indonesia,3543165177829610,108.4588,-7.0105,782045-7123
43,Roy,Lynch,rlynch16@theguardian.com,Guatemala,3571384160970696,-91.75395,15.79975,405101-3981
44,Anthony,Gomez,agomez17@craigslist.org,China,633356071445054330,99.9879,35.58621,771035-8157
45,Steve,Butler,sbutler18@sakura.ne.jp,Mexico,201535786694457,-99.8586,25.1445,756214-2623
46,Gerald,King,gking19@google.com.br,China,5610357351612549,119.91308,32.48213,939050-2013
47,Sarah,Wells,swells1a@harvard.edu,Russia,3575318805568784,39.7288,52.04662,749767-0268
48,Gary,Miller,gmiller1b@etsy.com,Serbia,3588113056071603,22.26405,43.90358,729755-9157
49,Tammy,Arnold,tarnold1c@ifeng.com,Kazakhstan,5602211135262994251,68.35996,51.80652,988004-5876
50,Annie,Chapman,achapman1d@oakley.com,South Africa,4911609077927634565,28.78443,-31.58893,912937-0599
51,Margaret,Ramos,mramos1e@nytimes.com,United States,3567049260576273,-80.0649,42.1827,039588-3066
52,Keith,Larson,klarson1f@unblog.fr,China,6763733742353744855,99.4,33.68333,527594-4504
53,Frances,Ramos,framos1g@phpbb.com,Montenegro,3555623217186677,19.79194,42.73389,683312-4720
54,Emily,Reed,ereed1h@marketwatch.com,Russia,3546859883995601,57.9896,55.0112,972241-6434
55,Jason,Harvey,jharvey1i@boston.com,Ukraine,6762562244690344844,36.69298,47.32755,283879-1372
56,Steven,Burke,sburke1j@ucsd.edu,Mayotte,201439362284348,45.13611,-12.84639,272514-8735
57,Jason,Shaw,jshaw1k@usatoday.com,Indonesia,6383979981062499,121.0377,-8.6926,825742-1355
58,Andrew,Harrison,aharrison1l@hc360.com,United States,5048379626255419,-91.7098,41.9804,923881-2716
59,Jeffrey,Wagner,jwagner1m@wisc.edu,United States,3557766617331860,-122.4644,47.2484,805389-3017
60,Dorothy,Diaz,ddiaz1n@ask.com,Palestinian Territory,3571327039271747,35.36164,32.45601,523495-7290
61,Judy,Owens,jowens1o@homestead.com,China,3583755265952174,117.01134,23.99355,619821-7769
62,Kathy,Flores,kflores1p@51.la,United States,67623092782421203,-91.7098,41.9804,842006-3385
63,Christine,Martinez,cmartinez1q@theatlantic.com,China,633490708523380817,110.35417,20.00583,922103-0749
64,Jane,Perez,jperez1r@cocolog-nifty.com,Argentina,201674730076527,-65.94602,-35.15282,381945-6050
65,Lisa,Garza,lgarza1s@over-blog.com,Thailand,3568787049580186,100.5951,7.19882,638811-7993
66,Alan,Hernandez,ahernandez1t@blogs.com,Venezuela,6706883247083903,-68.89417,10.43861,144990-1372
67,William,Foster,wfoster1u@slashdot.org,Indonesia,3554740288549327,113.2362,-8.2236,626491-6476
68,Marie,Elliott,melliott1v@weebly.com,China,4913970084361684,109.71211,30.85238,781848-3557
69,Catherine,Reed,creed1w@seattletimes.com,Croatia,3553472405959202,15.47667,44.21361,162847-9460
70,Alan,Garcia,agarcia1x@imageshack.us,Argentina,3533878834369984,-56.94329,-36.40633,152963-3296
71,Steven,Davis,sdavis1y@joomla.org,Iran,3577607768481151,50.8294,31.51025,201318-1491
72,Wayne,Wells,wwells1z@mit.edu,Philippines,3568331028906052,122.8607,11.4454,605356-8090
73,Beverly,Russell,brussell20@bloglovin.com,China,3562800639405395,120.58174,30.1473,057268-9968
74,Charles,Taylor,ctaylor21@4shared.com,Indonesia,3570411109487671,111.7107,-8.1104,171071-3270
75,Kenneth,Sanders,ksanders22@techcrunch.com,China,3540016058662708,116.05156,23.43061,418926-3999
76,Debra,Dunn,ddunn23@npr.org,France,3566164300446725,1.9039,47.9029,574544-1304
77,Ruby,Edwards,redwards24@cnet.com,Indonesia,3543927822960292,121.5904,-8.7918,556727-1194
78,Kathy,Sims,ksims25@is.gd,Philippines,30102458260229,122.5672,11.233,465768-7652
79,Kenneth,Murray,kmurray26@xrea.com,Czech Republic,3533289690222475,17.53597,49.08668,647476-4951
80,Deborah,Stewart,dstewart27@reddit.com,United States,3534422028149818,-114.9721,35.9279,167907-9970
81,Jose,Myers,jmyers28@merriam-webster.com,Russia,36923841748305,46.32968,54.84554,714961-0887
82,Peter,Jacobs,pjacobs29@yale.edu,China,3584248969914988,112.07596,33.15883,869370-9809
83,Steven,Fernandez,sfernandez2a@webeden.co.uk,Russia,3554532110744550,39.4981,57.56097,966730-0282
84,Carlos,Gomez,cgomez2b@people.com.cn,France,6759267512296791392,5.4497,43.5283,879940-3982
85,Alan,Collins,acollins2c@fotki.com,Cuba,3530451670800273,-78.6275,22.10944,484642-1070
86,Jack,Sanchez,jsanchez2d@hhs.gov,Indonesia,5100174231970246,108.7564,-7.0256,391593-5092
87,Clarence,Hill,chill2e@cargocollective.com,Colombia,3560006572206905,-75.44275,8.94616,107248-9049
88,Russell,Gilbert,rgilbert2f@cargocollective.com,Philippines,3552114291159577,123.2016,13.5214,864869-9593
89,Helen,Kelley,hkelley2g@cbslocal.com,Afghanistan,3559754659950654,69.16705,34.39951,139733-8317
90,Louise,Gibson,lgibson2h@independent.co.uk,Indonesia,201802676940923,112.4338,-7.4664,771291-7146
91,Harry,Harrison,hharrison2i@com.com,Cyprus,374283386178289,32.84997,35.11199,788115-4480
92,Kimberly,Mcdonald,kmcdonald2j@blogspot.com,Afghanistan,5474501039095966,70.20944,34.67139,737816-2654
93,Teresa,Bryant,tbryant2k@goo.ne.jp,Poland,633311981998964111,18.45334,50.19003,556311-0769
94,Robin,Mitchell,rmitchell2l@si.edu,France,3571966144817736,-0.0833,47.2667,622338-0311
95,Ronald,Hart,rhart2m@people.com.cn,Portugal,3534996882050055,-9.1228,38.9019,087449-3934
96,Ruby,Elliott,relliott2n@php.net,China,63049255590127685,111.24138,26.96589,381473-2966
97,Rose,Stewart,rstewart2o@quantcast.com,Indonesia,633110552282393565,111.1909,-6.8342,503965-8274
98,Donna,Jones,djones2p@spiegel.de,Russia,3531708564759389,36.55,56.31667,252220-2067
99,Mary,Simmons,msimmons2q@huffingtonpost.com,Slovenia,630408368823320844,14.29167,46.35472,007800-3653
100,Joan,Fisher,jfisher2r@moonfruit.com,Brazil,201493068720477,-39.375,-14.67806,573566-8289
