firstVar,secondVar,thirdVar,fourthVar,fifthVar,sixthVar,seventhVar,eightVar
2779.8,-1311,89,1338034426.9,-48269586.875,67,6540078.431,4844617249927966
5675.39,361,67,3971984485.7,-34378026.56,68,11739704.168,3574235004526853
7237.7,-473,36,4976557294.3,-6515543.0422,69,8865690.298,4917538157587513
7255.03,-1568,17,7001704655.3,-21726641.46,70,11809383.556,3578662818151345
9825.86,-820,63,10888507245.2,-52656718.089,71,10873464.584,5010122923116270
9185.53,-821,25,1569770287.8,-29431872.866,72,3713744.711,3560833321000440
4519.3,256,82,8146089250.6,-27803068.916,73,7985303.955,6304234964092881
7916.76,73,57,155089202.2,-49586927.935,74,2950864.544,5602233673670392
9677.36,625,74,8822831916.5,-68940268.649,75,8170168.652,3572671054432927
7636.78,990,61,368056944.1,-56945307.342,76,7079657.684,5407588688146663
1455.28,-5,74,12290709268.3,-24402331.788,77,4835333.337,372676990173624
4773.14,-1272,45,2321183484.9,-76461322.697,78,9625416.183,3559719028576837
4464.07,-2065,51,10471864656.6,-10944253.131,79,2901276.848,3544035768301981
2070.63,-1158,74,11980870273.6,-97828379.665,80,1862168.405,4041593050081
9932.24,-1562,95,8114678334.2,-40919804.603,81,4539313.866,3581344121213766
4173.25,-1783,60,4833145120.1,-76307233.535,82,4049444.534,4844666382095610
7614.31,-1102,33,9222958086.5,-7543026.0638,83,8652029.847,6333111804741726
7076.11,394,98,1959085534.1,-87301578.102,84,3725477.271,30222950282651
3320.45,-1947,11,12268494269.4,-22231580.038,85,1842310.375,3581735870855782
3089.75,-435,39,2765998182.3,-87473882.733,86,4494306.369,3563658349564318
5406.9,55,40,10940069977.8,-54632470.145,87,4458370.851,6394572867679523
6888.59,453,75,11809049962.9,-41634124.853,88,163050.453,502003511088497928
1680.87,-1897,32,10108452919.1,-60082716.126,89,5296784.798,3579664136864475
9508.11,-504,36,2606423125.6,-40714842.853,90,5728247.447,3573635103321380
2412.12,-1672,58,12115802600.2,-89444434.981,91,3994305.936,3588506527645253
1786.02,-1477,34,382444675.2,-46653246.908,92,8914283.297,5007667383243134
6529.78,-235,89,1591876638.8,-54024952.838,93,6158048.86,30372413370237
1805.09,981,69,5530984196.8,-80625453.022,94,9574737.437,6304477060661934941
3633.29,-1516,20,1218168420.4,-82478779.614,95,8120771.546,30017268363379
7244.43,453,80,5409299280.4,-9462282.5304,96,3311999.988,3535341448433587
4436.85,-33,55,7619867230.7,-4707752.8405,97,10379379.589,30535013235733
6223.12,-1980,15,4603921651.0,-106144940.7,98,5616901.28,6759653787437025
6818.35,43,41,7800522607.0,-70160037.073,99,2268238.175,4917749847200082
9426.83,-1463,10,8022951559.2,-118785491.39,100,10101135.314,5002351615365396
